Created,Opponent,Date,Time,Wind speed (km/h),Our score,Opponent's score,Result,Won points started on offense (holds),Won points started on defense (breaks),Possessions total,Offense possessions,Defense possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Stall outs for,Stall outs against
2025-04-11 23:36:40,Falcons Limmattal,2025-04-12,11:00,0,14,2,Win,3,11,31,7,24,115,17,11,9,18,10,0,0
2025-04-13 14:29:06,3rd - flying colors,2025-04-13,14:28,0,10,5,Win,6,4,22,14,8,106,12,5,7,5,11,0,0
2025-04-11 23:37:29,Discobolo,2025-04-12,16:00,0,12,4,Win,4,8,18,4,14,89,6,5,1,7,7,0,0
2025-04-13 10:27:27,Quarter - Spaccamadoni,2025-04-13,10:26,0,10,7,Win,5,5,19,13,6,128,9,9,3,3,8,0,0
2025-04-11 23:37:10,Flying Colors,2025-04-12,14:00,0,9,10,Loss,5,4,21,12,9,97,12,9,5,4,7,0,0
2025-04-13 12:28:50,Semi - u20,2025-04-13,12:28,0,6,10,Loss,5,1,20,14,6,121,14,11,6,8,3,0,0
